system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_0_0,-100.0,0.29968706,0.52645093,0.64877737,0.8851765,0.88667005,0.82683545,0.82033896,26_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.36798818873878,55.12700387209109]}"
2_1_0,0.41649342,0.7687421,0.3299539,0.29816514,0.8110236,0.79490083,0.8541284,0.7386311,379_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.55250214809693,55.755105918747454]}"
2_2_0,0.24571936,0.46833262,0.12513256,0.2517293,0.83584106,0.7990903,0.46274197,0.74588925,371_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.5988552167575,55.75762120154299]}"
2_3_0,-100.0,0.45311713,0.4495238,0.6498421,0.8947865,0.8572259,0.90055513,0.8262801,6_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.449555216536833,55.13185477462533]}"
2_4_0,0.48087925,0.12465181,0.3126935,0.69461656,0.9053004,0.849296,0.8478549,0.58875823,75_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.099576156125718,55.256361273004295]}"
2_5_0,0.45700482,0.3449933,0.5015322,0.664123,0.89782965,0.84971696,0.8980737,0.850736,6_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.44165004203658,55.13041747017074]}"
2_6_0,0.48647535,0.25756314,0.24228893,0.62632453,0.81739146,0.74696404,0.69636256,0.62049335,189_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.028070259509807,55.222045629150934]}"
2_7_0,0.08434505,0.2747583,0.35154393,0.61963165,0.8132004,0.8072324,0.73678344,0.719423,104_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.35002188305639,55.08083046648734]}"
2_8_0,0.47367868,0.20488627,0.26769912,0.4779632,0.8624282,0.82466245,0.81675804,0.6870383,194_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.048192521874082,55.214679443821154]}"
2_9_0,0.72715896,0.29010466,0.42857143,0.80034906,0.87021327,0.79509807,0.87866324,0.7257488,30_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.331516588203527,55.140298938296056]}"
2_10_0,-100.0,0.31906205,0.48202315,0.73387647,0.8837583,0.88263357,0.7324667,0.8252945,25_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.365113579829597,55.12197330650002]}"
2_11_0,0.5762611,0.5718799,0.34591296,0.7373737,0.88792247,0.83525527,0.71340203,0.79761285,12_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.424402388581488,55.11173251226106]}"
2_12_0,-100.0,0.46634284,0.5422794,0.8087432,0.8736183,0.8561919,0.9033457,0.83425546,6_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.451531510161896,55.13221410073898]}"
2_13_0,-100.0,0.31478623,0.4997227,0.70280325,0.87333333,0.89579695,0.8578275,0.82634085,26_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.368347514852427,55.12592589375014]}"
2_14_0,0.2969535,0.51450384,0.1775967,0.2766252,0.83379465,0.7678089,0.40664712,0.7668392,371_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.597238249246082,55.7569025493157]}"
